name,researchLine
frederico luiz goncalves de freitas,INTELIGENCIA ARTIFICIAL SIMBOLICA
vinicius cardoso garcia,ENGENHARIA DE SOFTWARE
alex sandro gomes,MIDIA E INTERACAO
george darmiton da cunha cavalcanti,INTELIGENCIA ARTIFICIAL SIMBOLICA
tsang ing ren,INTELIGENCIA ARTIFICIAL SIMBOLICA
carlos andre guimaraes ferraz,ENGENHARIA DE SOFTWARE
silvio de barros melo,MATEMATICA COMPUTACIONAL
eduardo antonio guimaraes tavares,SISTEMAS DISTRIBUIDOS
stenio flavio de lacerda fernandes,REDES DE COMPUTADORES
djamel fawzi hadj sadok,REDES DE COMPUTADORES
valeria cesario times,BANCO DE DADOS
edna natividade da silva barros,ENGENHARIA DA COMPUTACAO
adriano lorena inacio de oliveira,ENGENHARIA DE SOFTWARE
silvio romero de lemos meira,ENGENHARIA DE SOFTWARE
ricardo bastos cavalcante prudencio,REDES NEURAIS
flavia de almeida barros,ENGENHARIA DE SOFTWARE
fernando jose castor de lima filho,ENGENHARIA DE SOFTWARE
roberto souto maior de barros,ENGENHARIA DE SOFTWARE
alexandre cabral mota,ENGENHARIA DE SOFTWARE
abel guilhermino da silva filho,SISTEMAS DIGITAIS
nelson souto rosa,SISTEMAS DISTRIBUIDOS
ricardo massa ferreira lima,REDES DE COMPUTADORES
judith kelner,MIDIA E INTERACAO
robson do nascimento fidalgo,BANCO DE DADOS
francisco de assis tenorio de carvalho,ANALISE DE DADOS SIMBOLICOS E/OU NUMERICOS E METODOS AFINS
leopoldo motta teixeira,ENGENHARIA DE SOFTWARE
paulo henrique monteiro borba,ENGENHARIA DE SOFTWARE
veronica teichrieb,MIDIA E INTERACAO
rafael dueire lins,INTELIGENCIA ARTIFICIAL SIMBOLICA
paulo romero martins maciel,SISTEMAS DISTRIBUIDOS
ruy jose guerra barretto de queiroz,LOGICA E SISTEMAS DEDUTIVOS
alexandre marcos lins de vasconcelos,ENGENHARIA DE SOFTWARE
ivan gesteira costa filho,INTELIGENCIA ARTIFICIAL SIMBOLICA
kiev santos da gama,SISTEMAS DISTRIBUIDOS
fabio queda bueno da silva,ENGENHARIA DE SOFTWARE
andre luis de medeiros santos,ENGENHARIA DE SOFTWARE
ricardo martins de abreu silva,INTELIGENCIA ARTIFICIAL SIMBOLICA
carina frota alves,ENGENHARIA DE SOFTWARE
sergio castelo branco soares,ENGENHARIA DE SOFTWARE
paulo salgado gomes de mattos neto,INTELIGENCIA ARTIFICIAL SIMBOLICA
carla taciana lima lourenco silva schuenemann,ENGENHARIA DE SOFTWARE
marcio lopes cornelio,ENGENHARIA DE SOFTWARE
juliano manabu iyoda,ENGENHARIA DE SOFTWARE
augusto cesar alves sampaio,ENGENHARIA DE SOFTWARE
cleber zanchettin,INTELIGENCIA ARTIFICIAL SIMBOLICA
leandro maciel almeida,INTELIGENCIA ARTIFICIAL SIMBOLICA
manoel eusebio de lima,SISTEMAS DIGITAIS
renata maria mendes cardoso,ANALISE DE DADOS SIMBOLICOS E/OU NUMERICOS E METODOS AFINS
jose augusto suruagy monteiro,REDES DE COMPUTADORES
divanilson rodrigo de sousa campelo,REDES DE COMPUTADORES
bernadette farias loscio,BANCO DE DADOS
jaelson freire brelaz de castro,ENGENHARIA DE SOFTWARE
fernando da fonseca de souza,BANCO DE DADOS
simone cristiane dos santos lima,ENGENHARIA DE SOFTWARE
kelvin lopes dias,REDES DE COMPUTADORES
henrique emanuel mostaert rebelo,ENGENHARIA DE SOFTWARE
hermano perrelli de moura,LINGUAGENS DE PROGRAMACAO
germano crispim vasconcelos,INTELIGENCIA ARTIFICIAL SIMBOLICA
teresa bernarda ludermir,INTELIGENCIA ARTIFICIAL SIMBOLICA
ana carolina brandao salgado,BANCO DE DADOS
renato mariz de moraes,REDES DE COMPUTADORES
aluizio fausto ribeiro araujo,INTELIGENCIA ARTIFICIAL SIMBOLICA
pedro machado manhaes de castro,ALGORITMOS E COMPLEXIDADE
marcelo bezerra d'amorim,ENGENHARIA DE SOFTWARE
patricia cabral de azevedo restelli tedesco,INTELIGENCIA ARTIFICIAL SIMBOLICA
anjolina grisi de oliveira,LOGICA E SISTEMAS DEDUTIVOS
carlos alexandre barros de mello,INTELIGENCIA ARTIFICIAL SIMBOLICA
paulo roberto freire cunha,REDES DE COMPUTADORES
geber lisboa ramalho,INTELIGENCIA ARTIFICIAL SIMBOLICA
renato vimieiro,INTELIGENCIA ARTIFICIAL SIMBOLICA
paulo jorge leitao adeodato,INTELIGENCIA ARTIFICIAL SIMBOLICA
cristiano coelho de araujo,ARQUITETURA DE COMPUTADORES
odilon maroja da costa pereira filho,REDES DE COMPUTADORES
marcilia andrade campos,LOGICA E SISTEMAS DEDUTIVOS
katia silva guimaraes,ALGORITMOS E COMPLEXIDADE
sergio ricardo de melo queiroz,INTELIGENCIA ARTIFICIAL SIMBOLICA
daniel carvalho da cunha,REDES DE COMPUTADORES
paulo andre da silva goncalves,REDES DE COMPUTADORES
paulo gustavo soares da fonseca,INTELIGENCIA ARTIFICIAL SIMBOLICA
edson costa de barros carvalho filho,INTELIGENCIA ARTIFICIAL SIMBOLICA
